sale_date,whidx,skuidx,qty
24-03-2019,68500,3269615,2
24-03-2019,69100,3269615,2
25-03-2019,5156,3481968,0
25-03-2019,34122,3481968,1
25-03-2019,37163,3481968,1
25-03-2019,69100,3269615,2
25-03-2019,70401,3269615,2
25-03-2019,83539,3269615,3
26-03-2019,5156,3481968,1
26-03-2019,34122,3481968,1
26-03-2019,65261,3269615,1
27-03-2019,65261,3269615,1
28-03-2019,5156,3481968,3
29-03-2019,68500,3269615,1
29-03-2019,70401,3269615,1
29-03-2019,81490,3481968,1
29-03-2019,83539,3269615,1
30-03-2019,5156,3481968,3
30-03-2019,34122,3481968,1
30-03-2019,65261,3269615,1
30-03-2019,69100,3269615,1
31-03-2019,5156,3481968,1
31-03-2019,37163,3481968,2
31-03-2019,65245,3269615,1
31-03-2019,81490,3481968,1
01-04-2019,65245,3269615,1
01-04-2019,65261,3269615,1
01-04-2019,81490,3481968,1
01-04-2019,83539,3269615,1
02-04-2019,34122,3481968,1
03-04-2019,5156,3481968,2
03-04-2019,34122,3481968,2
03-04-2019,65261,3269615,2
04-04-2019,5156,3481968,1
04-04-2019,34122,3481968,2
04-04-2019,65265,3269615,3
04-04-2019,69100,3269615,1
04-04-2019,81490,3481968,1
05-04-2019,34122,3481968,2
05-04-2019,65265,3269615,1
05-04-2019,69100,3269615,2
05-04-2019,83539,3269615,1
06-04-2019,5156,3481968,1
06-04-2019,34122,3481968,1
06-04-2019,70360,3269615,1
06-04-2019,70401,3269615,1
06-04-2019,81490,3481968,2
06-04-2019,83539,3269615,1
07-04-2019,34122,3481968,1
07-04-2019,65261,3269615,1
07-04-2019,68500,3269615,2
07-04-2019,83539,3269615,3
08-04-2019,37163,3481968,1
08-04-2019,65261,3269615,1
08-04-2019,68500,3269615,1
09-04-2019,5156,3481968,2
09-04-2019,37163,3481968,1
09-04-2019,83539,3269615,1
10-04-2019,5156,3481968,1
10-04-2019,34122,3481968,1
10-04-2019,37163,3481968,1
10-04-2019,65245,3269615,1
10-04-2019,65261,3269615,1
10-04-2019,65265,3269615,2
10-04-2019,69100,3269615,1
10-04-2019,70360,3269615,3
10-04-2019,81490,3481968,1
10-04-2019,83539,3269615,1
11-04-2019,5156,3481968,3
11-04-2019,65261,3269615,1
11-04-2019,65265,3269615,1
11-04-2019,70360,3269615,1
11-04-2019,83539,3269615,1
