,WHIDX,SKUIDX,SALE_DATE,TOTAL_QTY
684,32722,3338776,2019-07-31,1
685,32722,3338776,2019-08-01,1
686,32722,3338776,2019-08-03,1
687,32722,3338776,2019-08-06,1
688,32722,3338776,2019-08-07,1
689,32722,3338776,2019-08-11,1
690,32722,3338776,2019-08-14,1
691,32722,3338776,2019-08-17,1
692,32722,3338776,2019-08-18,1
693,32722,3338776,2019-08-19,1
694,32722,3338776,2019-08-28,1
695,32722,3338776,2019-08-31,1
696,32722,3338776,2019-09-08,1
697,32722,3338776,2019-09-12,1
698,32722,3338776,2019-09-18,1
699,32722,3338776,2019-09-22,1
700,32722,3338776,2019-09-26,1
701,32722,3338776,2019-10-10,1
702,32722,3338776,2019-10-12,1
703,32722,3338776,2019-10-14,1
704,32722,3338776,2019-10-15,1
705,32722,3338776,2019-10-16,1
706,32722,3338776,2019-10-18,1
707,32722,3338776,2019-10-21,1
708,32722,3338776,2019-10-23,1
709,32722,3338776,2019-10-24,1
710,32722,3338776,2019-10-25,1
711,32722,3338776,2019-10-29,1
712,32722,3338776,2019-11-04,1
713,32722,3338776,2019-11-11,1
714,32722,3338776,2019-12-10,1
715,32722,3338776,2019-12-12,1
716,32722,3338776,2019-12-14,1
717,32722,3338776,2019-12-15,1
718,32722,3338776,2019-12-20,1
719,32722,3338776,2019-12-22,1
720,32722,3338776,2019-12-23,1
721,32722,3338776,2019-12-31,1
722,32722,3338776,2020-01-04,1
723,32722,3338776,2020-01-09,1
724,32722,3338776,2020-01-11,1
725,32722,3338776,2020-01-22,1
726,32722,3338776,2020-01-29,1
727,32722,3338776,2020-02-03,1
728,32722,3338776,2020-02-05,1
729,32722,3338776,2020-02-17,1
730,32722,3338776,2020-02-24,1
731,32722,3338776,2020-02-28,1
732,32722,3338776,2020-02-29,1
733,32722,3338776,2020-03-05,1
734,32722,3338776,2020-03-09,1
735,32722,3338776,2020-03-10,1
736,32722,3338776,2020-03-13,1
737,32722,3338776,2020-03-15,1
738,32722,3338776,2020-03-17,1
739,32722,3338776,2020-03-19,1
740,32722,3338776,2020-05-20,1
741,32722,3338776,2020-05-21,1
742,32722,3338776,2020-05-24,1
743,32722,3338776,2020-05-28,1
744,32722,3338776,2020-05-31,1
745,32722,3338776,2020-06-06,1
746,32722,3338776,2020-06-09,1
747,32722,3338776,2020-06-16,1
